Base;Data;;;;
DT_SA;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
COMMERCIAL;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DT_SA;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DT_SA;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DT_SA;15/04/2021;;;;
DT_SA;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
EXECUTIVE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DT_SA;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
COMMERCIAL;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DT_SA;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DEFENSE;15/04/2021;;;;
DT_SA;15/04/2021;;;;
COMMERCIAL;16/04/2021;;;;
DT_SA;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DT_SA;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DT_SA;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DT_SA;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
COMMERCIAL;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DT_SA;16/04/2021;;;;
DT_SA;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DT_SA;16/04/2021;;;;
TR_SA;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;16/04/2021;;;;
DEFENSE;17/04/2021;;;;
DEFENSE;17/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;18/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
COMMERCIAL;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
COMMERCIAL;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DEFENSE;19/04/2021;;;;
DT_SA;19/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
COMMERCIAL;20/04/2021;;;;
COMMERCIAL;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
COMMERCIAL;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
COMMERCIAL;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
COMMERCIAL;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
COMMERCIAL;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DT_SA;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;20/04/2021;;;;
DEFENSE;21/04/2021;;;;
DT_SA;21/04/2021;;;;
DT_SA;21/04/2021;;;;
DEFENSE;21/04/2021;;;;
DEFENSE;21/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DT_SA;22/04/2021;;;;
DT_SA;22/04/2021;;;;
DT_SA;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DT_SA;22/04/2021;;;;
DT_SA;22/04/2021;;;;
COMMERCIAL;22/04/2021;;;;
DT_SA;22/04/2021;;;;
DT_SA;22/04/2021;;;;
DT_SA;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
DEFENSE;22/04/2021;;;;
WEB_DEFENSE;22/04/2021;;;;
